geno,location,replication,block,plot,individual,haploid,emb,crossed_seed,HIR,EmbR
GLW62,Shunyi,1,2,10,4,5,74,36,12.19512195,NA
GLW109,Shunyi,2,3,14,7,9,61,60,13.04347826,NA
GLW91,SJZ,1,2,30,4,10,50,71,12.34567901,NA
GLW126,Shunyi,1,3,15,4,4,17,32,11.11111111,NA
GLW31,Shunyi,1,1,26,1,5,19,46,9.803921569,NA
GLW126,Hainan,1,2,8,1,1,13,37,NA,NA
GLW97,SJZ,1,2,36,5,12,21,56,17.64705882,NA
GLW62,SJZ,2,2,13,1,9,20,56,NA,NA
GLW55,SJZ,2,2,7,5,3,11,33,8.333333333,NA
GLW82,SJZ,2,2,26,2,4,11,32,11.11111111,NA
GLW31,Shunyi,1,1,26,2,7,21,62,10.14492754,NA
GLW126,SJZ,2,3,9,1,3,12,37,NA,NA
GLW126,Hainan,2,2,26,2,6,13,38,13.63636364,NA
GLW126,SJZ,2,3,9,4,13,18,49,20.96774194,NA
GLW42,SJZ,2,1,40,2,5,12,37,11.9047619,NA
GLW65,SJZ,2,2,15,5,6,13,41,12.76595745,NA
GLW6,Jinan,2,1,10,2,15,17,52,22.3880597,NA
GLW126,Shunyi,1,3,15,3,5,14,52,8.771929825,NA
GLW83,SJZ,2,2,27,2,11,11,34,NA,NA
GLW89,Jinan,1,2,31,3,6,10,35,14.63414634,NA
GLW49,SJZ,2,2,2,2,1,10,40,2.43902439,NA
GLW109,Shunyi,2,3,14,1,7,30,117,5.64516129,NA
GLW150,SJZ,1,3,34,9,9,15,54,14.28571429,NA
GLW126,Shunyi,2,3,27,2,11,20,74,12.94117647,NA
GLW13,Jinan,1,1,11,3,12,11,35,NA,NA
GLW6,Jinan,2,1,10,1,6,11,42,12.5,NA
GLW5,Hainan,1,2,29,1,13,26,102,11.30434783,NA
GLW56,Jinan,1,2,6,2,10,14,53,15.87301587,NA
GLW96,SJZ,1,2,35,2,8,11,42,16,NA
GLW5,Hainan,2,2,2,2,6,12,51,10.52631579,17.39130435
GLW97,SJZ,1,2,36,1,4,10,44,8.333333333,17.24137931
GLW97,Shunyi,2,3,2,7,7,12,51,12.06896552,17.14285714
GLW124,SJZ,1,3,15,1,3,7,31,8.823529412,17.07317073
GLW109,Hainan,1,2,5,1,17,26,111,13.28125,16.88311688
GLW53,Hainan,1,1,24,1,3,7,32,8.571428571,16.66666667
GLW6,Hainan,1,1,25,2,4,7,31,11.42857143,16.66666667
GLW16,Shunyi,1,1,12,8,23,21,85,21.2962963,16.27906977
GLW97,SJZ,2,2,35,6,10,9,37,21.27659574,16.07142857
GLW61,Jinan,2,2,18,1,15,13,53,NA,16.04938272
GLW17,Jinan,1,1,14,1,7,8,35,16.66666667,16
GLW126,SJZ,2,3,9,2,6,7,31,16.21621622,15.90909091
GLW41,Shunyi,1,1,35,2,15,24,113,11.71875,15.78947368
GLW121,Jinan,2,3,8,2,7,8,36,16.27906977,15.68627451
GLW97,SJZ,2,2,35,1,4,10,50,7.407407407,15.625
GLW154,Shunyi,2,1,1,2,10,17,82,10.86956522,15.59633028
GLW100,Shunyi,2,3,5,5,9,9,40,18.36734694,15.51724138
GLW73,SJZ,1,2,18,2,13,9,36,26.53061224,15.51724138
GLW65,Hainan,2,1,34,2,5,10,50,9.090909091,15.38461538
GLW97,Hainan,1,3,22,5,12,13,60,16.66666667,15.29411765
GLW108,SJZ,1,3,3,4,10,11,51,16.39344262,15.27777778
GLW5,Hainan,2,2,2,1,7,19,99,NA,15.2
GLW61,SJZ,2,2,12,1,13,10,43,NA,15.15151515
GLW126,Shunyi,1,3,15,1,3,11,59,4.838709677,15.06849315
GLW37,Hainan,2,1,37,6,18,15,67,21.17647059,15
GLW125,SJZ,2,3,8,5,13,12,55,19.11764706,15
GLW97,SJZ,1,2,36,2,8,12,60,11.76470588,15
GLW41,Shunyi,2,2,3,8,25,30,146,14.61988304,14.92537313
GLW4,Hainan,1,1,19,2,6,7,34,15,14.89361702
GLW41,Shunyi,2,2,3,9,25,28,135,15.625,14.89361702
GLW150,Hainan,2,3,20,1,14,26,135,9.395973154,14.85714286
GLW59,Hainan,2,3,2,2,3,9,49,5.769230769,14.75409836
GLW43,SJZ,1,1,39,1,1,9,51,1.923076923,14.75409836
GLW97,Jinan,2,2,39,6,8,11,56,12.5,14.66666667
GLW97,Shunyi,2,3,2,6,8,12,62,11.42857143,14.63414634
GLW126,Hainan,1,2,8,2,10,13,66,13.15789474,14.60674157
GLW97,Jinan,1,2,37,1,7,7,34,NA,14.58333333
GLW97,Hainan,1,3,22,6,9,8,38,19.14893617,14.54545455
GLW97,Shunyi,2,3,2,1,2,8,45,4.255319149,14.54545455
GLW156,SJZ,2,1,3,1,14,16,80,14.89361702,14.54545455
GLW63,Hainan,1,1,26,6,11,9,42,20.75471698,14.51612903
GLW58,Hainan,2,2,16,5,10,12,61,14.08450704,14.45783133
GLW59,Hainan,1,3,15,4,6,14,77,7.228915663,14.43298969
GLW29,Hainan,1,1,14,2,5,9,49,9.259259259,14.28571429
GLW6,Jinan,2,1,10,6,12,16,84,12.5,14.28571429
GLW115,Shunyi,2,3,17,5,6,5,24,20,14.28571429
GLW118,SJZ,1,3,9,5,12,9,43,21.81818182,14.0625
GLW31,SJZ,2,1,32,1,8,8,41,NA,14.03508772
GLW97,SJZ,1,2,36,6,11,8,38,22.44897959,14.03508772
GLW97,Shunyi,1,2,36,4,4,7,39,9.302325581,14
GLW42,SJZ,2,1,40,3,6,7,37,13.95348837,14
GLW63,SJZ,1,2,11,4,11,7,32,NA,14
GLW16,Jinan,1,1,13,1,11,11,57,16.17647059,13.92405063
GLW97,Jinan,2,2,39,7,11,11,57,16.17647059,13.92405063
GLW33,SJZ,2,1,34,2,12,16,87,12.12121212,13.91304348
GLW63,Hainan,2,1,32,7,13,10,49,20.96774194,13.88888889
GLW143,Shunyi,2,3,35,4,4,5,27,12.90322581,13.88888889
GLW42,Hainan,1,2,25,6,20,14,68,22.72727273,13.7254902
GLW128,Jinan,2,3,13,1,5,7,39,NA,13.7254902
GLW97,Shunyi,2,3,2,3,4,7,40,9.090909091,13.7254902
GLW136,Hainan,1,1,7,3,17,17,90,15.88785047,13.70967742
GLW63,Shunyi,2,2,22,1,3,9,54,5.263157895,13.63636364
GLW83,SJZ,2,2,27,1,4,6,34,NA,13.63636364
GLW109,Shunyi,2,3,14,6,12,19,109,9.917355372,13.57142857
GLW16,Jinan,2,1,18,3,6,8,45,11.76470588,13.55932203
GLW83,Jinan,2,2,30,3,8,8,43,15.68627451,13.55932203
GLW53,Jinan,1,2,3,1,0,5,32,NA,13.51351351
GLW83,Jinan,2,2,30,2,9,7,36,20,13.46153846
GLW31,Shunyi,2,1,34,3,8,7,37,17.77777778,13.46153846
GLW4,Hainan,2,1,2,3,7,9,51,12.06896552,13.43283582
GLW97,Jinan,2,2,39,2,6,6,33,15.38461538,13.33333333
GLW83,SJZ,1,2,24,1,3,6,36,NA,13.33333333
GLW41,Shunyi,1,1,35,1,15,21,122,10.94890511,13.29113924
GLW20,SJZ,2,1,22,3,4,7,42,8.695652174,13.20754717
GLW77,Jinan,2,2,27,1,5,8,48,9.433962264,13.1147541
GLW31,Shunyi,2,1,34,1,4,8,49,7.547169811,13.1147541
GLW97,SJZ,2,2,35,4,9,8,44,16.98113208,13.1147541
GLW36,Hainan,1,2,23,1,4,9,56,NA,13.04347826
GLW83,SJZ,1,2,24,3,5,6,35,12.5,13.04347826
GLW115,Shunyi,2,3,17,6,14,9,47,22.95081967,12.85714286
GLW3,Shunyi,2,1,9,2,2,5,32,5.882352941,12.82051282
GLW97,SJZ,2,2,35,2,10,11,65,13.33333333,12.79069767
GLW85,Jinan,1,2,27,2,8,6,33,19.51219512,12.76595745
GLW72,Hainan,1,1,31,1,4,8,51,7.272727273,12.6984127
GLW97,Jinan,2,2,39,5,10,8,45,18.18181818,12.6984127
GLW63,SJZ,1,2,11,5,21,11,55,NA,12.64367816
GLW5,Hainan,2,2,2,5,28,13,62,NA,12.62135922
GLW136,Jinan,1,3,28,1,4,5,31,11.42857143,12.5
GLW124,SJZ,2,3,7,5,11,6,31,26.19047619,12.5
GLW15,SJZ,1,1,13,3,9,6,33,NA,12.5
GLW126,Shunyi,2,3,27,4,12,10,59,16.90140845,12.34567901
GLW34,Jinan,1,1,30,2,7,9,57,10.9375,12.32876712
GLW8,Shunyi,2,1,14,5,10,9,54,15.625,12.32876712
GLW121,Shunyi,1,3,11,6,14,12,72,16.27906977,12.24489796
GLW13,Jinan,2,1,15,1,5,5,31,13.88888889,12.19512195
GLW65,Jinan,2,2,20,1,5,5,31,13.88888889,12.19512195
GLW117,Shunyi,1,3,7,7,5,5,31,13.88888889,12.19512195
GLW82,Shunyi,1,2,24,1,4,5,32,11.11111111,12.19512195
GLW97,Shunyi,1,2,36,3,3,5,33,8.333333333,12.19512195
GLW128,Shunyi,2,3,28,3,8,12,79,9.195402299,12.12121212
GLW76,SJZ,1,2,20,1,14,16,103,11.96581197,12.03007519
GLW111,Hainan,2,2,25,3,13,6,31,NA,12
GLW5,Hainan,2,2,2,3,14,15,96,12.72727273,12
GLW16,Jinan,1,1,13,2,8,9,58,12.12121212,12
GLW21,SJZ,1,1,18,6,8,9,58,12.12121212,12
GLW109,Shunyi,2,3,14,4,12,20,135,8.163265306,11.9760479
GLW14,SJZ,1,1,12,2,2,5,35,5.405405405,11.9047619
GLW62,SJZ,1,2,10,1,7,7,45,NA,11.86440678
GLW33,Jinan,2,1,32,1,8,9,59,11.94029851,11.84210526
GLW65,SJZ,1,2,13,1,5,11,77,6.097560976,11.82795699
GLW5,Hainan,1,2,29,4,22,15,90,19.64285714,11.81102362
GLW150,Hainan,2,3,20,3,12,10,63,16,11.76470588
GLW39,Hainan,1,2,24,1,14,16,106,11.66666667,11.76470588
GLW59,Hainan,2,3,2,1,3,10,72,4,11.76470588
GLW126,Jinan,1,3,21,1,5,6,40,11.11111111,11.76470588
GLW21,Jinan,1,1,17,4,2,8,58,3.333333333,11.76470588
GLW3,Shunyi,2,1,9,1,1,6,44,2.222222222,11.76470588
GLW38,Shunyi,1,1,33,8,16,8,44,26.66666667,11.76470588
GLW62,SJZ,1,2,10,5,18,11,65,NA,11.70212766
GLW37,Hainan,2,1,37,5,9,7,44,16.98113208,11.66666667
GLW21,Jinan,1,1,17,3,5,7,48,9.433962264,11.66666667
GLW95,Shunyi,1,2,35,2,4,7,49,7.547169811,11.66666667
GLW86,Jinan,2,2,32,1,6,5,32,15.78947368,11.62790698
GLW97,Jinan,2,2,39,4,4,5,34,10.52631579,11.62790698
GLW100,Shunyi,2,3,5,2,2,3,21,8.695652174,11.53846154
GLW148,SJZ,2,3,21,2,9,6,37,19.56521739,11.53846154
GLW97,SJZ,1,2,36,4,7,6,39,15.2173913,11.53846154
GLW20,Hainan,2,3,25,4,9,7,45,16.66666667,11.47540984
GLW53,Hainan,1,1,24,3,13,8,49,20.96774194,11.42857143
GLW97,Hainan,2,3,22,3,14,8,48,22.58064516,11.42857143
GLW41,Shunyi,1,1,35,5,10,8,52,16.12903226,11.42857143
GLW150,Jinan,1,3,38,5,25,16,100,NA,11.34751773
GLW144,Hainan,1,3,6,1,4,6,43,8.510638298,11.32075472
GLW41,Shunyi,2,2,3,3,16,19,133,10.73825503,11.30952381
GLW41,Shunyi,1,1,35,3,20,20,137,12.7388535,11.29943503
GLW106,SJZ,1,3,1,4,9,7,46,16.36363636,11.29032258
GLW34,SJZ,1,1,30,4,7,8,56,11.11111111,11.26760563
GLW27,Shunyi,2,1,30,1,17,17,117,12.68656716,11.25827815
GLW7,Shunyi,1,1,6,1,19,23,163,10.43956044,11.2195122
GLW158,Hainan,2,2,28,2,5,5,35,12.5,11.11111111
GLW71,Hainan,2,2,8,3,10,9,62,13.88888889,11.11111111
GLW143,Jinan,2,3,19,1,14,6,34,NA,11.11111111
GLW79,Jinan,1,2,24,2,10,6,38,NA,11.11111111
GLW131,Shunyi,2,3,29,4,1,1,7,12.5,11.11111111
GLW37,Shunyi,1,1,32,1,11,10,69,13.75,11.11111111
GLW97,Shunyi,1,2,36,1,5,11,83,5.681818182,11.11111111
GLW118,SJZ,1,3,9,4,7,5,33,17.5,11.11111111
GLW33,SJZ,2,1,34,3,10,6,38,20.83333333,11.11111111
GLW65,SJZ,1,2,13,6,8,7,48,14.28571429,11.11111111
GLW150,Shunyi,1,3,32,4,11,12,86,11.34020619,11.00917431
GLW45,Shunyi,2,2,7,5,7,14,107,6.140350877,10.9375
GLW82,Shunyi,1,2,24,2,9,7,48,15.78947368,10.9375
GLW16,SJZ,1,1,14,7,17,7,40,NA,10.9375
GLW144,Jinan,1,3,32,5,1,6,48,NA,10.90909091
GLW30,Jinan,2,1,30,6,21,12,77,21.42857143,10.90909091
GLW20,Shunyi,1,1,15,1,4,6,45,8.163265306,10.90909091
GLW4,SJZ,1,1,4,4,8,6,41,16.32653061,10.90909091
GLW62,SJZ,1,2,10,4,10,6,39,NA,10.90909091
GLW117,Hainan,1,2,7,5,10,5,31,24.3902439,10.86956522
GLW41,Shunyi,2,2,3,4,19,20,145,11.58536585,10.86956522
GLW91,SJZ,1,2,30,2,3,5,38,7.317073171,10.86956522
GLW150,Jinan,1,3,38,2,18,9,56,NA,10.84337349
GLW119,Hainan,2,3,33,4,25,25,181,12.13592233,10.82251082
GLW126,Jinan,1,3,21,2,5,8,61,7.575757576,10.81081081
GLW126,Hainan,2,2,26,3,8,7,50,13.79310345,10.76923077
GLW26,Jinan,2,1,26,4,5,7,53,8.620689655,10.76923077
GLW6,Jinan,1,1,6,2,12,7,46,20.68965517,10.76923077
GLW124,Jinan,2,3,9,6,16,12,84,16,10.71428571
GLW126,Jinan,2,3,11,4,18,12,82,18,10.71428571
GLW155,Jinan,1,3,42,1,6,6,44,12,10.71428571
GLW158,Jinan,1,3,44,6,12,9,63,16,10.71428571
GLW128,Shunyi,1,3,16,1,6,6,44,NA,10.71428571
GLW124,SJZ,2,3,7,2,7,6,43,14,10.71428571
GLW150,Hainan,1,3,10,2,21,17,121,14.78873239,10.6918239
GLW120,Hainan,1,1,4,3,6,11,86,6.52173913,10.67961165
GLW146,Hainan,2,3,32,2,15,11,77,16.30434783,10.67961165
GLW55,SJZ,2,2,7,3,5,8,62,7.462686567,10.66666667
GLW115,Shunyi,2,3,17,2,6,5,36,14.28571429,10.63829787
GLW16,SJZ,2,1,20,6,8,5,34,19.04761905,10.63829787
GLW31,Jinan,1,1,27,2,11,7,48,18.6440678,10.60606061
GLW143,Shunyi,1,3,25,4,6,7,53,10.16949153,10.60606061
GLW8,Jinan,2,1,12,5,15,13,95,13.63636364,10.56910569
GLW4,Hainan,1,1,19,3,8,6,43,15.68627451,10.52631579
GLW64,Hainan,1,2,31,5,24,8,44,NA,10.52631579
GLW121,Jinan,1,3,18,4,8,10,77,9.411764706,10.52631579
GLW150,Jinan,2,3,26,2,19,8,49,NA,10.52631579
GLW45,Shunyi,1,1,37,6,4,6,47,7.843137255,10.52631579
GLW79,Shunyi,1,2,23,1,4,8,64,5.882352941,10.52631579
GLW83,SJZ,1,2,24,6,13,6,38,25.49019608,10.52631579
GLW41,Hainan,2,1,12,1,4,7,56,NA,10.44776119
GLW65,Jinan,1,2,13,1,9,7,51,15,10.44776119
GLW146,Hainan,2,3,32,1,7,5,36,16.27906977,10.41666667
GLW12,Jinan,1,1,10,7,14,10,72,16.27906977,10.41666667
GLW150,Jinan,1,3,38,1,12,5,31,NA,10.41666667
GLW64,Jinan,2,2,19,5,20,16,118,14.49275362,10.38961039
GLW28,Shunyi,1,1,23,1,5,8,64,7.246376812,10.38961039
GLW126,Shunyi,2,3,27,1,12,11,83,12.63157895,10.37735849
GLW63,Shunyi,2,2,22,4,11,14,110,9.090909091,10.37037037
GLW30,Hainan,2,1,19,5,14,6,38,26.92307692,10.34482759
GLW1,Shunyi,1,3,1,5,7,6,45,13.46153846,10.34482759
GLW102,Shunyi,2,3,7,5,3,3,23,11.53846154,10.34482759
GLW79,SJZ,1,2,23,1,6,6,46,11.53846154,10.34482759
GLW65,Jinan,1,2,13,2,8,7,53,13.1147541,10.29411765
GLW124,SJZ,2,3,7,3,13,7,48,21.31147541,10.29411765
GLW88,SJZ,2,2,30,4,13,11,83,13.54166667,10.28037383
GLW15,Hainan,1,3,9,3,12,12,93,11.42857143,10.25641026
GLW42,Hainan,1,2,25,5,14,8,56,20,10.25641026
GLW8,Shunyi,1,1,7,1,6,8,64,8.571428571,10.25641026
GLW126,SJZ,1,3,17,3,4,4,31,11.42857143,10.25641026
GLW126,SJZ,2,3,9,5,15,8,55,21.42857143,10.25641026
GLW146,Jinan,2,3,23,3,17,9,62,21.51898734,10.22727273
GLW146,Hainan,2,3,32,5,9,5,35,20.45454545,10.20408163
GLW115,Hainan,1,2,6,4,20,11,77,20.6185567,10.18518519
GLW45,Shunyi,2,2,7,9,8,11,89,8.24742268,10.18518519
GLW64,Hainan,2,2,6,4,9,6,44,16.98113208,10.16949153
GLW64,Shunyi,1,2,12,3,8,6,45,15.09433962,10.16949153
GLW13,SJZ,1,1,11,2,12,6,41,NA,10.16949153
GLW97,SJZ,2,2,35,3,8,6,45,15.09433962,10.16949153
GLW30,Jinan,2,1,30,10,24,13,91,20.86956522,10.15625
GLW125,Jinan,2,3,10,2,11,8,60,15.49295775,10.12658228
GLW77,SJZ,1,2,21,2,11,9,69,13.75,10.11235955
GLW65,Hainan,2,1,34,4,10,10,79,11.23595506,10.1010101
GLW16,Shunyi,1,1,12,6,29,16,114,20.27972028,10.06289308
GLW41,Shunyi,2,2,3,5,18,17,134,11.84210526,10.0591716
GLW111,Hainan,2,2,25,1,4,5,41,8.888888889,10
GLW63,Hainan,1,1,26,3,7,6,47,12.96296296,10
GLW126,Jinan,1,3,21,3,5,10,85,5.555555556,10
GLW126,Jinan,2,3,11,2,13,8,59,18.05555556,10
GLW13,Jinan,1,1,11,2,10,5,35,NA,10
GLW5,Jinan,2,1,9,2,19,6,35,NA,10
GLW104,Shunyi,2,3,9,7,1,1,8,11.11111111,10
GLW108,Shunyi,2,3,13,6,25,12,83,23.14814815,10
GLW121,Shunyi,1,3,11,1,4,5,41,8.888888889,10
GLW121,Shunyi,2,3,22,2,6,7,57,9.523809524,10
GLW126,Shunyi,2,3,27,3,17,12,91,15.74074074,10
GLW24,Shunyi,2,1,27,7,10,11,89,10.1010101,10
GLW97,Shunyi,1,2,36,2,5,8,67,6.944444444,10
GLW53,SJZ,2,2,5,2,3,4,33,8.333333333,10
GLW41,Shunyi,2,2,3,10,28,18,135,17.17791411,9.944751381
GLW59,Hainan,1,3,15,5,6,8,67,8.219178082,9.87654321
GLW30,Hainan,2,1,19,3,16,7,48,25,9.85915493
GLW120,Hainan,2,1,33,5,7,6,48,12.72727273,9.836065574
GLW23,Shunyi,2,1,26,1,8,12,102,7.272727273,9.836065574
GLW18,SJZ,1,1,16,1,3,6,52,5.454545455,9.836065574
GLW97,SJZ,2,2,35,5,10,6,45,18.18181818,9.836065574
GLW157,Hainan,2,2,12,2,11,15,127,7.971014493,9.803921569
GLW29,Hainan,1,1,14,6,8,5,38,17.39130435,9.803921569
GLW20,SJZ,1,1,17,5,11,5,35,NA,9.803921569
GLW148,Hainan,1,2,13,7,16,9,67,19.27710843,9.782608696
GLW16,Jinan,1,1,13,4,16,9,67,19.27710843,9.782608696
GLW102,Jinan,1,3,3,1,5,4,32,13.51351351,9.756097561
GLW21,Jinan,2,1,21,1,4,4,33,10.81081081,9.756097561
GLW49,Shunyi,2,2,11,5,11,8,63,14.86486486,9.756097561
GLW124,SJZ,1,3,15,2,10,8,64,13.51351351,9.756097561
GLW16,SJZ,2,1,20,1,4,4,33,10.81081081,9.756097561
GLW52,SJZ,2,2,4,1,3,4,34,8.108108108,9.756097561
GLW150,Jinan,2,3,26,6,19,11,83,NA,9.734513274
GLW150,SJZ,2,3,23,4,11,7,54,NA,9.722222222
GLW25,SJZ,2,1,8,3,8,7,57,12.30769231,9.722222222
GLW103,Hainan,1,2,3,5,17,9,67,20.23809524,9.677419355
GLW111,Hainan,2,2,25,2,9,6,47,16.07142857,9.677419355
GLW121,Shunyi,1,3,11,3,6,6,50,10.71428571,9.677419355
GLW128,Shunyi,1,3,16,3,8,6,48,NA,9.677419355
GLW34,SJZ,2,1,35,2,12,6,44,NA,9.677419355
GLW63,Hainan,2,1,32,3,13,10,81,13.82978723,9.615384615
GLW126,Jinan,2,3,11,10,21,15,120,14.89361702,9.615384615
GLW31,Jinan,1,1,27,3,13,7,53,19.6969697,9.589041096
GLW93,Jinan,1,2,34,6,2,7,64,3.03030303,9.589041096
GLW45,Shunyi,1,1,37,1,1,7,65,1.515151515,9.589041096
GLW53,Shunyi,1,2,3,4,9,7,57,13.63636364,9.589041096
GLW149,SJZ,1,3,33,1,5,7,61,7.575757576,9.589041096
GLW15,Hainan,1,3,9,2,8,9,77,9.411764706,9.574468085
GLW45,Hainan,1,1,21,2,8,9,77,9.411764706,9.574468085
GLW146,Jinan,2,3,23,7,26,11,78,25,9.565217391
GLW121,Jinan,1,3,18,1,5,4,33,13.15789474,9.523809524
GLW26,Jinan,2,1,26,1,5,4,33,13.15789474,9.523809524
GLW156,Shunyi,2,1,3,1,18,22,191,8.612440191,9.523809524
GLW20,Shunyi,1,1,15,3,10,10,85,10.52631579,9.523809524
GLW63,Shunyi,1,2,11,9,15,12,99,13.15789474,9.523809524
GLW123,SJZ,1,3,14,2,5,4,33,13.15789474,9.523809524
GLW65,SJZ,2,2,15,6,7,4,31,18.42105263,9.523809524
GLW16,Shunyi,1,1,12,3,19,15,124,13.28671329,9.493670886
GLW20,Jinan,1,1,16,2,13,11,92,12.38095238,9.482758621
GLW117,Hainan,1,2,7,3,15,9,71,17.44186047,9.473684211
GLW15,Hainan,2,3,28,2,6,9,80,6.976744186,9.473684211
GLW77,Shunyi,2,2,33,1,4,7,63,5.970149254,9.459459459
GLW13,SJZ,2,1,17,1,6,7,61,8.955223881,9.459459459
GLW84,Shunyi,1,2,26,2,37,19,145,20.32967033,9.452736318
GLW5,Hainan,1,2,29,3,9,5,39,18.75,9.433962264
GLW102,Jinan,1,3,3,2,7,5,41,14.58333333,9.433962264
GLW6,SJZ,2,1,12,2,8,5,40,16.66666667,9.433962264
GLW64,SJZ,1,2,12,6,12,5,36,25,9.433962264
GLW126,SJZ,2,3,9,3,13,8,64,16.88311688,9.411764706
GLW106,Hainan,2,1,3,1,13,9,74,14.94252874,9.375
GLW34,Jinan,1,1,30,7,8,12,108,6.896551724,9.375
GLW108,Shunyi,2,3,13,3,20,12,96,17.24137931,9.375
GLW59,Shunyi,2,2,18,1,0,6,58,0,9.375
GLW30,SJZ,2,1,31,6,9,6,49,15.51724138,9.375
GLW126,Jinan,1,3,21,6,13,13,113,10.31746032,9.352517986
GLW148,Shunyi,2,3,40,1,17,23,206,7.623318386,9.349593496
GLW21,Shunyi,2,1,24,3,11,7,57,16.17647059,9.333333333
GLW64,SJZ,1,2,12,4,13,7,55,19.11764706,9.333333333
GLW150,Jinan,2,3,26,5,24,11,83,NA,9.322033898
GLW117,Jinan,2,3,4,2,2,4,37,5.128205128,9.302325581
GLW37,Jinan,1,1,33,1,6,4,33,15.38461538,9.302325581
GLW4,Jinan,1,1,4,1,8,4,31,NA,9.302325581
GLW16,Shunyi,2,1,20,11,20,12,97,17.09401709,9.302325581
GLW61,Shunyi,1,2,9,3,9,8,69,11.53846154,9.302325581
GLW93,Shunyi,1,2,34,4,5,4,34,12.82051282,9.302325581
GLW59,SJZ,1,2,7,8,7,4,32,17.94871795,9.302325581
GLW45,Shunyi,1,1,37,3,4,9,84,4.545454545,9.278350515
GLW152,Hainan,1,2,14,3,27,15,120,18.36734694,9.259259259
GLW49,Hainan,2,1,35,3,6,5,43,12.24489796,9.259259259
GLW47,Jinan,1,1,43,2,7,5,42,14.28571429,9.259259259
GLW155,Shunyi,2,1,2,1,3,5,46,6.12244898,9.259259259
GLW1,SJZ,1,2,1,4,4,5,45,8.163265306,9.259259259
GLW111,SJZ,1,3,5,6,8,5,41,16.32653061,9.259259259
GLW140,SJZ,2,3,15,1,5,5,44,10.20408163,9.259259259
GLW152,Jinan,2,1,1,13,14,22,202,NA,9.243697479
GLW63,Jinan,1,2,11,1,11,6,48,18.6440678,9.230769231
GLW121,SJZ,1,3,12,1,6,12,112,5.084745763,9.230769231
GLW157,SJZ,2,1,4,2,7,6,52,11.86440678,9.230769231
GLW45,Hainan,1,1,21,5,9,7,60,13.04347826,9.210526316
GLW21,SJZ,1,1,18,4,8,7,61,11.5942029,9.210526316
GLW97,Hainan,1,3,22,2,7,8,72,8.860759494,9.195402299
GLW23,Shunyi,1,1,18,9,16,8,63,20.25316456,9.195402299
GLW65,SJZ,2,2,15,2,5,8,74,6.329113924,9.195402299
GLW16,Hainan,2,3,4,3,25,9,64,28.08988764,9.183673469
GLW65,Hainan,1,1,27,5,17,10,82,17.17171717,9.174311927
GLW34,Jinan,2,1,33,4,20,10,79,20.2020202,9.174311927
GLW41,Shunyi,2,2,3,1,12,14,127,8.633093525,9.150326797
GLW148,Hainan,2,2,24,5,18,5,32,NA,9.090909091
GLW152,Hainan,2,2,33,1,4,5,46,8,9.090909091
GLW21,Hainan,2,2,15,2,5,6,55,8.333333333,9.090909091
GLW85,Hainan,2,3,11,3,10,5,40,20,9.090909091
GLW103,Jinan,2,2,41,5,12,6,48,20,9.090909091
GLW119,Jinan,1,3,16,1,13,6,47,21.66666667,9.090909091
GLW124,Jinan,2,3,9,1,4,4,36,10,9.090909091
GLW143,Jinan,2,3,19,2,14,5,36,NA,9.090909091
GLW145,Jinan,2,3,22,1,8,6,52,13.33333333,9.090909091
GLW82,Jinan,2,2,29,1,15,6,45,25,9.090909091
GLW108,Shunyi,1,3,2,3,24,12,96,20,9.090909091
GLW119,Shunyi,2,3,20,1,17,20,183,8.5,9.090909091
GLW16,Shunyi,1,1,12,9,29,13,101,22.30769231,9.090909091
GLW37,Shunyi,2,1,40,1,4,4,36,10,9.090909091
GLW67,Shunyi,2,2,25,9,10,5,40,20,9.090909091
GLW1,SJZ,2,1,27,5,5,4,35,12.5,9.090909091
GLW125,SJZ,2,3,8,6,9,4,31,22.5,9.090909091
GLW125,SJZ,2,3,8,7,9,4,31,22.5,9.090909091
GLW133,SJZ,1,3,21,6,14,7,56,20,9.090909091
GLW143,SJZ,1,3,28,2,4,4,36,10,9.090909091
GLW146,SJZ,2,3,20,4,11,6,49,18.33333333,9.090909091
GLW58,SJZ,1,2,6,1,2,4,38,NA,9.090909091
GLW65,SJZ,2,2,15,4,6,6,54,10,9.090909091
GLW67,SJZ,2,2,16,2,8,6,52,13.33333333,9.090909091
GLW109,Hainan,1,2,5,8,25,11,86,22.52252252,9.016393443
GLW59,Hainan,2,3,2,4,8,10,93,7.920792079,9.009009009
GLW158,Shunyi,1,3,37,1,8,9,83,8.791208791,9
GLW154,Shunyi,2,1,1,6,11,7,60,15.49295775,8.974358974
GLW79,Jinan,2,2,28,2,8,6,53,13.1147541,8.955223881
GLW26,Shunyi,2,1,29,4,6,6,55,9.836065574,8.955223881
GLW82,Shunyi,2,2,36,1,10,6,51,16.39344262,8.955223881
GLW121,SJZ,2,3,6,7,12,6,49,19.67213115,8.955223881
GLW152,SJZ,1,3,35,3,5,6,56,8.196721311,8.955223881
GLW42,Hainan,2,2,23,1,5,5,46,9.803921569,8.928571429
GLW82,Jinan,1,2,25,4,11,5,40,21.56862745,8.928571429
GLW42,Hainan,1,2,25,1,10,8,72,12.19512195,8.888888889
GLW38,SJZ,1,1,34,5,7,4,34,17.07317073,8.888888889
GLW36,Hainan,1,2,23,3,14,7,58,19.44444444,8.860759494
